threshold,precision,recall,f1,accuracy
0.01,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.02,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.03,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.04,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.05,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.060000000000000005,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.06999999999999999,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.08,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.09,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.09999999999999999,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.11,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.12,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.13,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.14,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.15000000000000002,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.16,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.17,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.18000000000000002,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.19,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.2,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.21000000000000002,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.22,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.23,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.24000000000000002,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.25,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.26,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.27,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.28,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.29000000000000004,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.3,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.31,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.32,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.33,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.34,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.35000000000000003,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.36000000000000004,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.37,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.38,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.39,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.4,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.41000000000000003,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.42000000000000004,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.43,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.44,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.45,0.15835140997830802,1.0,0.27340823970037453,0.15835140997830802
0.46,0.15852334419109662,1.0,0.2736644798500469,0.1594360086767896
0.47000000000000003,0.15869565217391304,1.0,0.27392120075046905,0.16052060737527116
0.48000000000000004,0.15869565217391304,1.0,0.27392120075046905,0.16052060737527116
0.49,0.15921483097055616,1.0,0.27469426152398874,0.16377440347071584
0.5,0.15956284153005465,1.0,0.27521206409048066,0.16594360086767895
0.51,0.15973741794310722,1.0,0.27547169811320754,0.16702819956616052
0.52,0.0,0.0,0.0,0.841648590021692
0.53,0.0,0.0,0.0,0.841648590021692
0.54,0.0,0.0,0.0,0.841648590021692
0.55,0.0,0.0,0.0,0.841648590021692
0.56,0.0,0.0,0.0,0.841648590021692
0.5700000000000001,0.0,0.0,0.0,0.841648590021692
0.5800000000000001,0.0,0.0,0.0,0.841648590021692
0.59,0.0,0.0,0.0,0.841648590021692
0.6,0.0,0.0,0.0,0.841648590021692
0.61,0.0,0.0,0.0,0.841648590021692
0.62,0.0,0.0,0.0,0.841648590021692
0.63,0.0,0.0,0.0,0.841648590021692
0.64,0.0,0.0,0.0,0.841648590021692
0.65,0.0,0.0,0.0,0.841648590021692
0.66,0.0,0.0,0.0,0.841648590021692
0.67,0.0,0.0,0.0,0.841648590021692
0.68,0.0,0.0,0.0,0.841648590021692
0.6900000000000001,0.0,0.0,0.0,0.841648590021692
0.7000000000000001,0.0,0.0,0.0,0.841648590021692
0.7100000000000001,0.0,0.0,0.0,0.841648590021692
0.72,0.0,0.0,0.0,0.841648590021692
0.73,0.0,0.0,0.0,0.841648590021692
0.74,0.0,0.0,0.0,0.841648590021692
0.75,0.0,0.0,0.0,0.841648590021692
0.76,0.0,0.0,0.0,0.841648590021692
0.77,0.0,0.0,0.0,0.841648590021692
0.78,0.0,0.0,0.0,0.841648590021692
0.79,0.0,0.0,0.0,0.841648590021692
0.8,0.0,0.0,0.0,0.841648590021692
0.81,0.0,0.0,0.0,0.841648590021692
0.8200000000000001,0.0,0.0,0.0,0.841648590021692
0.8300000000000001,0.0,0.0,0.0,0.841648590021692
0.8400000000000001,0.0,0.0,0.0,0.841648590021692
0.85,0.0,0.0,0.0,0.841648590021692
0.86,0.0,0.0,0.0,0.841648590021692
0.87,0.0,0.0,0.0,0.841648590021692
0.88,0.0,0.0,0.0,0.841648590021692
0.89,0.0,0.0,0.0,0.841648590021692
0.9,0.0,0.0,0.0,0.841648590021692
0.91,0.0,0.0,0.0,0.841648590021692
0.92,0.0,0.0,0.0,0.841648590021692
0.93,0.0,0.0,0.0,0.841648590021692
0.9400000000000001,0.0,0.0,0.0,0.841648590021692
0.9500000000000001,0.0,0.0,0.0,0.841648590021692
0.9600000000000001,0.0,0.0,0.0,0.841648590021692
0.97,0.0,0.0,0.0,0.841648590021692
0.98,0.0,0.0,0.0,0.841648590021692
0.99,0.0,0.0,0.0,0.841648590021692
