threshold,precision,recall,f1,accuracy
0.01,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.02,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.03,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.04,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.05,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.060000000000000005,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.06999999999999999,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.08,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.09,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.09999999999999999,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.11,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.12,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.13,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.14,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.15000000000000002,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.16,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.17,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.18000000000000002,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.19,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.2,0.4176829268292683,1.0,0.589247311827957,0.4176829268292683
0.21000000000000002,0.4221879815100154,1.0,0.5937161430119177,0.42835365853658536
0.22,0.4221879815100154,1.0,0.5937161430119177,0.42835365853658536
0.23,0.4221879815100154,1.0,0.5937161430119177,0.42835365853658536
0.24000000000000002,0.4221879815100154,1.0,0.5937161430119177,0.42835365853658536
0.25,0.4221879815100154,1.0,0.5937161430119177,0.42835365853658536
0.26,0.4221879815100154,1.0,0.5937161430119177,0.42835365853658536
0.27,0.4221879815100154,1.0,0.5937161430119177,0.42835365853658536
0.28,0.4221879815100154,1.0,0.5937161430119177,0.42835365853658536
0.29000000000000004,0.4228395061728395,1.0,0.5943600867678959,0.4298780487804878
0.3,0.42194744976816073,0.9963503649635036,0.5928338762214984,0.42835365853658536
0.31,0.42194744976816073,0.9963503649635036,0.5928338762214984,0.42835365853658536
0.32,0.42194744976816073,0.9963503649635036,0.5928338762214984,0.42835365853658536
0.33,0.42260061919504643,0.9963503649635036,0.5934782608695652,0.4298780487804878
0.34,0.42260061919504643,0.9963503649635036,0.5934782608695652,0.4298780487804878
0.35000000000000003,0.42260061919504643,0.9963503649635036,0.5934782608695652,0.4298780487804878
0.36000000000000004,0.42080745341614906,0.9890510948905109,0.5904139433551199,0.4268292682926829
0.37,0.42080745341614906,0.9890510948905109,0.5904139433551199,0.4268292682926829
0.38,0.42121684867394693,0.9854014598540146,0.5901639344262295,0.42835365853658536
0.39,0.42121684867394693,0.9854014598540146,0.5901639344262295,0.42835365853658536
0.4,0.4225352112676056,0.9854014598540146,0.5914567360350493,0.43140243902439024
0.41000000000000003,0.4231974921630094,0.9854014598540146,0.5921052631578947,0.4329268292682927
0.42000000000000004,0.0,0.0,0.0,0.5823170731707317
0.43,0.0,0.0,0.0,0.5823170731707317
0.44,0.0,0.0,0.0,0.5823170731707317
0.45,0.0,0.0,0.0,0.5823170731707317
0.46,0.0,0.0,0.0,0.5823170731707317
0.47000000000000003,0.0,0.0,0.0,0.5823170731707317
0.48000000000000004,0.0,0.0,0.0,0.5823170731707317
0.49,0.0,0.0,0.0,0.5823170731707317
0.5,0.0,0.0,0.0,0.5823170731707317
0.51,0.0,0.0,0.0,0.5823170731707317
0.52,0.0,0.0,0.0,0.5823170731707317
0.53,0.0,0.0,0.0,0.5823170731707317
0.54,0.0,0.0,0.0,0.5823170731707317
0.55,0.0,0.0,0.0,0.5823170731707317
0.56,0.0,0.0,0.0,0.5823170731707317
0.5700000000000001,0.0,0.0,0.0,0.5823170731707317
0.5800000000000001,0.0,0.0,0.0,0.5823170731707317
0.59,0.0,0.0,0.0,0.5823170731707317
0.6,0.0,0.0,0.0,0.5823170731707317
0.61,0.0,0.0,0.0,0.5823170731707317
0.62,0.0,0.0,0.0,0.5823170731707317
0.63,0.0,0.0,0.0,0.5823170731707317
0.64,0.0,0.0,0.0,0.5823170731707317
0.65,0.0,0.0,0.0,0.5823170731707317
0.66,0.0,0.0,0.0,0.5823170731707317
0.67,0.0,0.0,0.0,0.5823170731707317
0.68,0.0,0.0,0.0,0.5823170731707317
0.6900000000000001,0.0,0.0,0.0,0.5823170731707317
0.7000000000000001,0.0,0.0,0.0,0.5823170731707317
0.7100000000000001,0.0,0.0,0.0,0.5823170731707317
0.72,0.0,0.0,0.0,0.5823170731707317
0.73,0.0,0.0,0.0,0.5823170731707317
0.74,0.0,0.0,0.0,0.5823170731707317
0.75,0.0,0.0,0.0,0.5823170731707317
0.76,0.0,0.0,0.0,0.5823170731707317
0.77,0.0,0.0,0.0,0.5823170731707317
0.78,0.0,0.0,0.0,0.5823170731707317
0.79,0.0,0.0,0.0,0.5823170731707317
0.8,0.0,0.0,0.0,0.5823170731707317
0.81,0.0,0.0,0.0,0.5823170731707317
0.8200000000000001,0.0,0.0,0.0,0.5823170731707317
0.8300000000000001,0.0,0.0,0.0,0.5823170731707317
0.8400000000000001,0.0,0.0,0.0,0.5823170731707317
0.85,0.0,0.0,0.0,0.5823170731707317
0.86,0.0,0.0,0.0,0.5823170731707317
0.87,0.0,0.0,0.0,0.5823170731707317
0.88,0.0,0.0,0.0,0.5823170731707317
0.89,0.0,0.0,0.0,0.5823170731707317
0.9,0.0,0.0,0.0,0.5823170731707317
0.91,0.0,0.0,0.0,0.5823170731707317
0.92,0.0,0.0,0.0,0.5823170731707317
0.93,0.0,0.0,0.0,0.5823170731707317
0.9400000000000001,0.0,0.0,0.0,0.5823170731707317
0.9500000000000001,0.0,0.0,0.0,0.5823170731707317
0.9600000000000001,0.0,0.0,0.0,0.5823170731707317
0.97,0.0,0.0,0.0,0.5823170731707317
0.98,0.0,0.0,0.0,0.5823170731707317
0.99,0.0,0.0,0.0,0.5823170731707317
