threshold,precision,recall
0.01,0.7592592592592593,1.0
0.02,0.7592592592592593,1.0
0.03,0.7592592592592593,1.0
0.04,0.7592592592592593,1.0
0.05,0.7592592592592593,1.0
0.060000000000000005,0.7592592592592593,1.0
0.06999999999999999,0.8356164383561644,0.991869918699187
0.08,0.8356164383561644,0.991869918699187
0.09,0.8356164383561644,0.991869918699187
0.09999999999999999,0.8356164383561644,0.991869918699187
0.11,0.8356164383561644,0.991869918699187
0.12,0.8356164383561644,0.991869918699187
0.13,0.8356164383561644,0.991869918699187
0.14,0.8356164383561644,0.991869918699187
0.15000000000000002,0.8356164383561644,0.991869918699187
0.16,0.8356164383561644,0.991869918699187
0.17,0.8642857142857143,0.983739837398374
0.18000000000000002,0.8642857142857143,0.983739837398374
0.19,0.8642857142857143,0.983739837398374
0.2,0.8642857142857143,0.983739837398374
0.21000000000000002,0.8888888888888888,0.975609756097561
0.22,0.8888888888888888,0.975609756097561
0.23,0.8888888888888888,0.975609756097561
0.24000000000000002,0.8888888888888888,0.975609756097561
0.25,0.8888888888888888,0.975609756097561
0.26,0.8888888888888888,0.975609756097561
0.27,0.8888888888888888,0.975609756097561
0.28,0.8888888888888888,0.975609756097561
0.29000000000000004,0.8888888888888888,0.975609756097561
0.3,0.8888888888888888,0.975609756097561
0.31,0.8888888888888888,0.975609756097561
0.32,0.8888888888888888,0.975609756097561
0.33,0.8888888888888888,0.975609756097561
0.34,0.9147286821705426,0.959349593495935
0.35000000000000003,0.9147286821705426,0.959349593495935
0.36000000000000004,0.9147286821705426,0.959349593495935
0.37,0.9147286821705426,0.959349593495935
0.38,0.9147286821705426,0.959349593495935
0.39,0.9147286821705426,0.959349593495935
0.4,0.9147286821705426,0.959349593495935
0.41000000000000003,0.9147286821705426,0.959349593495935
0.42000000000000004,0.9147286821705426,0.959349593495935
0.43,0.9147286821705426,0.959349593495935
0.44,0.9147286821705426,0.959349593495935
0.45,0.9147286821705426,0.959349593495935
0.46,0.9147286821705426,0.959349593495935
0.47000000000000003,0.9147286821705426,0.959349593495935
0.48000000000000004,0.9147286821705426,0.959349593495935
0.49,0.9147286821705426,0.959349593495935
0.5,0.9147286821705426,0.959349593495935
0.51,0.928,0.943089430894309
0.52,0.928,0.943089430894309
0.53,0.928,0.943089430894309
0.54,0.928,0.943089430894309
0.55,0.928,0.943089430894309
0.56,0.928,0.943089430894309
0.5700000000000001,0.928,0.943089430894309
0.5800000000000001,0.928,0.943089430894309
0.59,0.9646017699115044,0.8861788617886179
0.6,0.9646017699115044,0.8861788617886179
0.61,0.9646017699115044,0.8861788617886179
0.62,0.9646017699115044,0.8861788617886179
0.63,0.9646017699115044,0.8861788617886179
0.64,0.9646017699115044,0.8861788617886179
0.65,0.9646017699115044,0.8861788617886179
0.66,0.9646017699115044,0.8861788617886179
0.67,0.9646017699115044,0.8861788617886179
0.68,0.9646017699115044,0.8861788617886179
0.6900000000000001,0.9646017699115044,0.8861788617886179
0.7000000000000001,0.9646017699115044,0.8861788617886179
0.7100000000000001,0.9646017699115044,0.8861788617886179
0.72,0.9646017699115044,0.8861788617886179
0.73,0.9646017699115044,0.8861788617886179
0.74,0.9646017699115044,0.8861788617886179
0.75,0.9646017699115044,0.8861788617886179
0.76,0.9646017699115044,0.8861788617886179
0.77,0.9646017699115044,0.8861788617886179
0.78,0.9646017699115044,0.8861788617886179
0.79,0.9646017699115044,0.8861788617886179
0.8,0.9646017699115044,0.8861788617886179
0.81,0.9722222222222222,0.8536585365853658
0.8200000000000001,0.9722222222222222,0.8536585365853658
0.8300000000000001,0.9722222222222222,0.8536585365853658
0.8400000000000001,0.9895833333333334,0.7723577235772358
0.85,0.9895833333333334,0.7723577235772358
0.86,0.9895833333333334,0.7723577235772358
0.87,0.9895833333333334,0.7723577235772358
0.88,0.9895833333333334,0.7723577235772358
0.89,0.9895833333333334,0.7723577235772358
0.9,0.9895833333333334,0.7723577235772358
0.91,0.9895833333333334,0.7723577235772358
0.92,0.9895833333333334,0.7723577235772358
0.93,0.9895833333333334,0.7723577235772358
0.9400000000000001,1.0,0.6504065040650406
0.9500000000000001,1.0,0.6504065040650406
0.9600000000000001,1.0,0.6504065040650406
0.97,1.0,0.6504065040650406
0.98,1.0,0.6504065040650406
0.99,1.0,0.6504065040650406
