threshold,precision,recall
0.01,0.7969543147208121,1.0
0.02,0.7969543147208121,1.0
0.03,0.7969543147208121,1.0
0.04,0.7969543147208121,1.0
0.05,0.7969543147208121,1.0
0.060000000000000005,0.7969543147208121,1.0
0.06999999999999999,0.7969543147208121,1.0
0.08,0.7969543147208121,1.0
0.09,0.7969543147208121,1.0
0.09999999999999999,0.7969543147208121,1.0
0.11,0.7969543147208121,1.0
0.12,0.7969543147208121,1.0
0.13,0.7969543147208121,1.0
0.14,0.7969543147208121,1.0
0.15000000000000002,0.7969543147208121,1.0
0.16,0.7969543147208121,1.0
0.17,0.7969543147208121,1.0
0.18000000000000002,0.7969543147208121,1.0
0.19,0.7969543147208121,1.0
0.2,0.7969543147208121,1.0
0.21000000000000002,0.7969543147208121,1.0
0.22,0.7969543147208121,1.0
0.23,0.7969543147208121,1.0
0.24000000000000002,0.7969543147208121,1.0
0.25,0.7969543147208121,1.0
0.26,0.8082901554404145,0.9936305732484076
0.27,0.8082901554404145,0.9936305732484076
0.28,0.8082901554404145,0.9936305732484076
0.29000000000000004,0.8082901554404145,0.9936305732484076
0.3,0.8082901554404145,0.9936305732484076
0.31,0.8082901554404145,0.9936305732484076
0.32,0.8082901554404145,0.9936305732484076
0.33,0.8082901554404145,0.9936305732484076
0.34,0.8082901554404145,0.9936305732484076
0.35000000000000003,0.8082901554404145,0.9936305732484076
0.36000000000000004,0.8082901554404145,0.9936305732484076
0.37,0.8082901554404145,0.9936305732484076
0.38,0.8698224852071006,0.9363057324840764
0.39,0.8698224852071006,0.9363057324840764
0.4,0.8698224852071006,0.9363057324840764
0.41000000000000003,0.8698224852071006,0.9363057324840764
0.42000000000000004,0.8698224852071006,0.9363057324840764
0.43,0.8698224852071006,0.9363057324840764
0.44,0.8698224852071006,0.9363057324840764
0.45,0.8698224852071006,0.9363057324840764
0.46,0.8698224852071006,0.9363057324840764
0.47000000000000003,0.8698224852071006,0.9363057324840764
0.48000000000000004,0.8698224852071006,0.9363057324840764
0.49,0.8698224852071006,0.9363057324840764
0.5,0.8698224852071006,0.9363057324840764
0.51,0.8787878787878788,0.9235668789808917
0.52,0.8787878787878788,0.9235668789808917
0.53,0.8787878787878788,0.9235668789808917
0.54,0.8787878787878788,0.9235668789808917
0.55,0.9025974025974026,0.8853503184713376
0.56,0.9025974025974026,0.8853503184713376
0.5700000000000001,0.9025974025974026,0.8853503184713376
0.5800000000000001,0.9183673469387755,0.8598726114649682
0.59,0.9183673469387755,0.8598726114649682
0.6,0.9183673469387755,0.8598726114649682
0.61,0.9183673469387755,0.8598726114649682
0.62,0.9183673469387755,0.8598726114649682
0.63,0.9183673469387755,0.8598726114649682
0.64,0.9183673469387755,0.8598726114649682
0.65,0.9183673469387755,0.8598726114649682
0.66,0.9183673469387755,0.8598726114649682
0.67,0.9183673469387755,0.8598726114649682
0.68,0.9183673469387755,0.8598726114649682
0.6900000000000001,0.96,0.7643312101910829
0.7000000000000001,0.96,0.7643312101910829
0.7100000000000001,0.96,0.7643312101910829
0.72,0.96,0.7643312101910829
0.73,0.96,0.7643312101910829
0.74,0.96,0.7643312101910829
0.75,0.96,0.7643312101910829
0.76,0.96,0.7643312101910829
0.77,0.96,0.7643312101910829
0.78,0.96,0.7643312101910829
0.79,0.96,0.7643312101910829
0.8,0.96,0.7643312101910829
0.81,0.96,0.7643312101910829
0.8200000000000001,0.96,0.7643312101910829
0.8300000000000001,0.96,0.7643312101910829
0.8400000000000001,0.96,0.7643312101910829
0.85,0.96,0.7643312101910829
0.86,0.96,0.7643312101910829
0.87,0.96,0.7643312101910829
0.88,0.96,0.7643312101910829
0.89,0.96,0.7643312101910829
0.9,0.96,0.7643312101910829
0.91,0.96,0.7643312101910829
0.92,0.96,0.7643312101910829
0.93,0.96,0.7643312101910829
0.9400000000000001,0.96,0.7643312101910829
0.9500000000000001,0.96,0.7643312101910829
0.9600000000000001,0.0,0.0
0.97,0.0,0.0
0.98,0.0,0.0
0.99,0.0,0.0
