threshold,precision,recall,f1,accuracy
0.01,0.16347237880496054,0.9931506849315068,0.2807357212003872,0.19414316702819956
0.02,0.16347237880496054,0.9931506849315068,0.2807357212003872,0.19414316702819956
0.03,0.16347237880496054,0.9931506849315068,0.2807357212003872,0.19414316702819956
0.04,0.16347237880496054,0.9931506849315068,0.2807357212003872,0.19414316702819956
0.05,0.16347237880496054,0.9931506849315068,0.2807357212003872,0.19414316702819956
0.060000000000000005,0.1636568848758465,0.9931506849315068,0.2810077519379845,0.19522776572668113
0.06999999999999999,0.1636568848758465,0.9931506849315068,0.2810077519379845,0.19522776572668113
0.08,0.1636568848758465,0.9931506849315068,0.2810077519379845,0.19522776572668113
0.09,0.1636568848758465,0.9931506849315068,0.2810077519379845,0.19522776572668113
0.09999999999999999,0.1636568848758465,0.9931506849315068,0.2810077519379845,0.19522776572668113
0.11,0.1638418079096045,0.9931506849315068,0.2812803103782735,0.1963123644251627
0.12,0.16402714932126697,0.9931506849315068,0.2815533980582524,0.19739696312364424
0.13,0.16402714932126697,0.9931506849315068,0.2815533980582524,0.19739696312364424
0.14,0.16402714932126697,0.9931506849315068,0.2815533980582524,0.19739696312364424
0.15000000000000002,0.16978922716627634,0.9931506849315068,0.29,0.2299349240780911
0.16,0.17159763313609466,0.9931506849315068,0.29263370332996974,0.23969631236442515
0.17,0.0,0.0,0.0,0.841648590021692
0.18000000000000002,0.0,0.0,0.0,0.841648590021692
0.19,0.0,0.0,0.0,0.841648590021692
0.2,0.0,0.0,0.0,0.841648590021692
0.21000000000000002,0.0,0.0,0.0,0.841648590021692
0.22,0.0,0.0,0.0,0.841648590021692
0.23,0.0,0.0,0.0,0.841648590021692
0.24000000000000002,0.0,0.0,0.0,0.841648590021692
0.25,0.0,0.0,0.0,0.841648590021692
0.26,0.0,0.0,0.0,0.841648590021692
0.27,0.0,0.0,0.0,0.841648590021692
0.28,0.0,0.0,0.0,0.841648590021692
0.29000000000000004,0.0,0.0,0.0,0.841648590021692
0.3,0.0,0.0,0.0,0.841648590021692
0.31,0.0,0.0,0.0,0.841648590021692
0.32,0.0,0.0,0.0,0.841648590021692
0.33,0.0,0.0,0.0,0.841648590021692
0.34,0.0,0.0,0.0,0.841648590021692
0.35000000000000003,0.0,0.0,0.0,0.841648590021692
0.36000000000000004,0.0,0.0,0.0,0.841648590021692
0.37,0.0,0.0,0.0,0.841648590021692
0.38,0.0,0.0,0.0,0.841648590021692
0.39,0.0,0.0,0.0,0.841648590021692
0.4,0.0,0.0,0.0,0.841648590021692
0.41000000000000003,0.0,0.0,0.0,0.841648590021692
0.42000000000000004,0.0,0.0,0.0,0.841648590021692
0.43,0.0,0.0,0.0,0.841648590021692
0.44,0.0,0.0,0.0,0.841648590021692
0.45,0.0,0.0,0.0,0.841648590021692
0.46,0.0,0.0,0.0,0.841648590021692
0.47000000000000003,0.0,0.0,0.0,0.841648590021692
0.48000000000000004,0.0,0.0,0.0,0.841648590021692
0.49,0.0,0.0,0.0,0.841648590021692
0.5,0.0,0.0,0.0,0.841648590021692
0.51,0.0,0.0,0.0,0.841648590021692
0.52,0.0,0.0,0.0,0.841648590021692
0.53,0.0,0.0,0.0,0.841648590021692
0.54,0.0,0.0,0.0,0.841648590021692
0.55,0.0,0.0,0.0,0.841648590021692
0.56,0.0,0.0,0.0,0.841648590021692
0.5700000000000001,0.0,0.0,0.0,0.841648590021692
0.5800000000000001,0.0,0.0,0.0,0.841648590021692
0.59,0.0,0.0,0.0,0.841648590021692
0.6,0.0,0.0,0.0,0.841648590021692
0.61,0.0,0.0,0.0,0.841648590021692
0.62,0.0,0.0,0.0,0.841648590021692
0.63,0.0,0.0,0.0,0.841648590021692
0.64,0.0,0.0,0.0,0.841648590021692
0.65,0.0,0.0,0.0,0.841648590021692
0.66,0.0,0.0,0.0,0.841648590021692
0.67,0.0,0.0,0.0,0.841648590021692
0.68,0.0,0.0,0.0,0.841648590021692
0.6900000000000001,0.0,0.0,0.0,0.841648590021692
0.7000000000000001,0.0,0.0,0.0,0.841648590021692
0.7100000000000001,0.0,0.0,0.0,0.841648590021692
0.72,0.0,0.0,0.0,0.841648590021692
0.73,0.0,0.0,0.0,0.841648590021692
0.74,0.0,0.0,0.0,0.841648590021692
0.75,0.0,0.0,0.0,0.841648590021692
0.76,0.0,0.0,0.0,0.841648590021692
0.77,0.0,0.0,0.0,0.841648590021692
0.78,0.0,0.0,0.0,0.841648590021692
0.79,0.0,0.0,0.0,0.841648590021692
0.8,0.0,0.0,0.0,0.841648590021692
0.81,0.0,0.0,0.0,0.841648590021692
0.8200000000000001,0.0,0.0,0.0,0.841648590021692
0.8300000000000001,0.0,0.0,0.0,0.841648590021692
0.8400000000000001,0.0,0.0,0.0,0.841648590021692
0.85,0.0,0.0,0.0,0.841648590021692
0.86,0.0,0.0,0.0,0.841648590021692
0.87,0.0,0.0,0.0,0.841648590021692
0.88,0.0,0.0,0.0,0.841648590021692
0.89,0.0,0.0,0.0,0.841648590021692
0.9,0.0,0.0,0.0,0.841648590021692
0.91,0.0,0.0,0.0,0.841648590021692
0.92,0.0,0.0,0.0,0.841648590021692
0.93,0.0,0.0,0.0,0.841648590021692
0.9400000000000001,0.0,0.0,0.0,0.841648590021692
0.9500000000000001,0.0,0.0,0.0,0.841648590021692
0.9600000000000001,0.0,0.0,0.0,0.841648590021692
0.97,0.0,0.0,0.0,0.841648590021692
0.98,0.0,0.0,0.0,0.841648590021692
0.99,0.0,0.0,0.0,0.841648590021692
