threshold,precision,recall
0.01,0.8228346456692913,1.0
0.02,0.8228346456692913,1.0
0.03,0.8228346456692913,1.0
0.04,0.8228346456692913,1.0
0.05,0.8228346456692913,1.0
0.060000000000000005,0.8228346456692913,1.0
0.06999999999999999,0.8228346456692913,1.0
0.08,0.8228346456692913,1.0
0.09,0.8228346456692913,1.0
0.09999999999999999,0.8228346456692913,1.0
0.11,0.8228346456692913,1.0
0.12,0.8228346456692913,1.0
0.13,0.8228346456692913,1.0
0.14,0.8228346456692913,1.0
0.15000000000000002,0.9272727272727272,0.9760765550239234
0.16,0.9272727272727272,0.9760765550239234
0.17,0.9272727272727272,0.9760765550239234
0.18000000000000002,0.9272727272727272,0.9760765550239234
0.19,0.9272727272727272,0.9760765550239234
0.2,0.9272727272727272,0.9760765550239234
0.21000000000000002,0.9272727272727272,0.9760765550239234
0.22,0.9272727272727272,0.9760765550239234
0.23,0.9272727272727272,0.9760765550239234
0.24000000000000002,0.9272727272727272,0.9760765550239234
0.25,0.9272727272727272,0.9760765550239234
0.26,0.9663461538461539,0.9617224880382775
0.27,0.9663461538461539,0.9617224880382775
0.28,0.9663461538461539,0.9617224880382775
0.29000000000000004,0.9663461538461539,0.9617224880382775
0.3,0.9663461538461539,0.9617224880382775
0.31,0.9663461538461539,0.9617224880382775
0.32,0.9663461538461539,0.9617224880382775
0.33,0.9663461538461539,0.9617224880382775
0.34,0.9663461538461539,0.9617224880382775
0.35000000000000003,0.9663461538461539,0.9617224880382775
0.36000000000000004,0.9663461538461539,0.9617224880382775
0.37,0.9663461538461539,0.9617224880382775
0.38,0.9663461538461539,0.9617224880382775
0.39,0.9663461538461539,0.9617224880382775
0.4,0.9663461538461539,0.9617224880382775
0.41000000000000003,0.9663461538461539,0.9617224880382775
0.42000000000000004,0.9663461538461539,0.9617224880382775
0.43,0.9663461538461539,0.9617224880382775
0.44,0.9663461538461539,0.9617224880382775
0.45,0.9663461538461539,0.9617224880382775
0.46,0.9663461538461539,0.9617224880382775
0.47000000000000003,0.9663461538461539,0.9617224880382775
0.48000000000000004,0.9663461538461539,0.9617224880382775
0.49,0.9663461538461539,0.9617224880382775
0.5,0.9663461538461539,0.9617224880382775
0.51,0.9754901960784313,0.9521531100478469
0.52,0.9754901960784313,0.9521531100478469
0.53,0.9754901960784313,0.9521531100478469
0.54,0.9754901960784313,0.9521531100478469
0.55,0.9754901960784313,0.9521531100478469
0.56,0.9754901960784313,0.9521531100478469
0.5700000000000001,0.9754901960784313,0.9521531100478469
0.5800000000000001,0.9754901960784313,0.9521531100478469
0.59,0.9754901960784313,0.9521531100478469
0.6,0.9754901960784313,0.9521531100478469
0.61,0.9754901960784313,0.9521531100478469
0.62,0.9754901960784313,0.9521531100478469
0.63,0.9754901960784313,0.9521531100478469
0.64,0.9754901960784313,0.9521531100478469
0.65,0.9754901960784313,0.9521531100478469
0.66,0.9754901960784313,0.9521531100478469
0.67,0.9754901960784313,0.9521531100478469
0.68,0.9754901960784313,0.9521531100478469
0.6900000000000001,0.9754901960784313,0.9521531100478469
0.7000000000000001,0.9754901960784313,0.9521531100478469
0.7100000000000001,0.9754901960784313,0.9521531100478469
0.72,0.9754901960784313,0.9521531100478469
0.73,0.9754901960784313,0.9521531100478469
0.74,0.9754901960784313,0.9521531100478469
0.75,0.9754901960784313,0.9521531100478469
0.76,0.9754901960784313,0.9521531100478469
0.77,0.9754901960784313,0.9521531100478469
0.78,0.9754901960784313,0.9521531100478469
0.79,0.9754901960784313,0.9521531100478469
0.8,0.9754901960784313,0.9521531100478469
0.81,0.9754901960784313,0.9521531100478469
0.8200000000000001,0.9754901960784313,0.9521531100478469
0.8300000000000001,0.9754901960784313,0.9521531100478469
0.8400000000000001,0.9754901960784313,0.9521531100478469
0.85,0.9754901960784313,0.9521531100478469
0.86,0.9943181818181818,0.8373205741626795
0.87,0.9943181818181818,0.8373205741626795
0.88,0.9943181818181818,0.8373205741626795
0.89,0.9943181818181818,0.8373205741626795
0.9,0.9943181818181818,0.8373205741626795
0.91,0.9943181818181818,0.8373205741626795
0.92,0.9943181818181818,0.8373205741626795
0.93,0.9943181818181818,0.8373205741626795
0.9400000000000001,1.0,0.7655502392344498
0.9500000000000001,1.0,0.7655502392344498
0.9600000000000001,1.0,0.7655502392344498
0.97,1.0,0.7655502392344498
0.98,1.0,0.7655502392344498
0.99,1.0,0.7655502392344498
